id,region_name,block_name,rhval,area,long_title,comm_name,floor_tag,fitment_value
5376672936,沭城,上海中路,2室1厅,71m²,东兴小学东方公馆8楼两室两厅一卫94平方证不满2,东方公馆,低层(共32层),毛坯
5232837551,沭阳开发区,宁波路,1室1厅,44m²,时代商业广场电梯3楼精装修40万包2室,时代商业广场,中层(共6层),精装修
5288596138,沭城,上海中路,2室1厅,68m²,东关怀文双学 区华希文鼎苑2室2厅1卫送家具电车库南北通透,华希文鼎苑,高层(共7层),简单装修
5389485743,沭城,上海中路,1室1厅,59m²,急售！怀文学 区 浙江商城多层二楼！居家自住保养好 报名神器,浙江商城,低层(共6层),精装修
5384807576,沭城,上海中路,1室1厅,47m²,江南枫景 朝南毛坯房 怀文西校 区 两室朝南,江南枫景,中层(共17层),毛坯
5360103696,沭城,上海中路,2室1厅,71m²,满五唯一住房 南北通透 2室2厅 93平 武夷国际城 95万,武夷国际城,中层(共21层),精装修
5361978133,沭城,上海中路,2室1厅,63m²,人民医院安置小区7楼84平方精装修二室送车库99.8万,原人民医院安置小区,低层(共28层),精装修
5250878463,沭城,上海中路,2室1厅,74m²,包 过户 南湖校区 中央花园5楼98平方精装2室2厅,中央花园,低层(共28层),精装修
5364188590,沭城,上海中路,2室1厅,73m²,首付35万 武夷国际城 二室精装 电梯房7楼...,武夷国际城,低层(共28层),精装修
5384340436,沭城,上海中路,2室1厅,73m²,大润发商圈 武夷国际城电梯房2室96平方精装105.8万,武夷国际城,低层(共24层),精装修
5379403313,沭城,上海中路,2室1厅,61m²,东关 怀文学 区 浙江商城多层4楼 精装修2朝阳 送家具证2,浙江商城,共4层,精装修
5359198813,沭城,上海中路,2室1厅,71m²,东方明珠城 东关校 区送阁楼,东方明珠城,高层(共7层),简单装修
5345126324,沭城,上海中路,2室2厅,84m²,三实小外国语学 区房乐之地丽景贵都精装修二室送外阁楼有车库,丽景贵都,共5层,精装修
5358947404,沭城,上海中路,2室1厅,66m²,春风沂水 一实小 外国语 送车库 送大阳台,春风沂水,共4层,精装修
5332193327,沭城,上海中路,2室1厅,70m²,一实小 金禾理想城 两房 带车库 价格可谈,金禾理想城,中层(共6层),简单装修
5355224667,沭城,上海中路,2室1厅,68m²,一实小 阳光天地 多层4楼二室普装带车库 随时看房 ...,阳光天地,中层(共6层),简单装修
5366947281,沭城,上海中路,1室1厅,56m²,大润发商圈怡华苑多层三楼两室精装未住带车库仅售86.5万,怡华苑小区,中层(共6层),精装修
5359136273,沭城,上海中路,2室1厅,66m²,春风沂水 一实小**   送露天大平台和16平方车库两室朝阳,春风沂水,共4层,精装修
5368335882,沭城,上海中路,2室1厅,68m²,天下景城 多层3楼 南北通透两室 90平95.5万,天下景城,中层(共6层),精装修
5381790936,沭城,上海中路,2室1厅,67m²,老实小 怡景佳园 五楼 客厅通透阳台 带车库唯一 精装,怡景佳园,高层(共6层),精装修
5371693862,沭城,上海中路,2室1厅,68m²,一实小和外国语学 区房 花都景城 多层5楼 精装未住,花都锦城,高层(共6层),精装修
5337356953,沭城,上海中路,2室1厅,70m²,华希文鼎苑 两室两厅一卫 110万 精装修 ，满二 送车库,华希文鼎苑,高层(共7层),精装修
5355185696,沭城,上海中路,2室1厅,69m²,二实小南关双学 健康家园电梯房 6楼2室1厅精装修,健康家园,高层(共8层),精装修
5381861162,沭城,上海中路,2室1厅,67m²,老实小怡景佳园5楼南面一排，89平送车库98万，满五唯一,怡景佳园,高层(共6层),精装修
5376871754,沭城,上海中路,2室1厅,61m²,东关怀文双学 区房，浙江商城多层四楼81平方二室二庁92.8,浙江商城,共4层,精装修
5375270475,沭城,上海中路,2室1厅,68m²,一实小**房 花都锦城多层5楼  精装未住 南北通透 证满二,花都锦城,高层(共6层),精装修
5335372100,沭城,上海中路,2室1厅,72m²,天下景城电梯房，浦东国际附近，客厅朝阳两室朝阳双阳台送小书房,天下景城,中层(共11层),精装修
5344918556,沭城,上海中路,2室1厅,73m²,一实学学校 新世纪家园两室两厅96平方 南北通透,新世纪家园,中层(共6层),简单装修
5371138313,沭城,上海中路,1室1厅,45m²,东关怀文双学 区 浙江商城多层3楼 温馨两室 东边户,浙江商城,共5层,精装修
5355186098,沭城,上海中路,2室1厅,69m²,健康家园6楼精装修两室两厅一卫两室朝阳送家具家电,健康家园,高层(共8层),精装修
5373281338,沭城,上海中路,2室1厅,68m²,一实小花都锦城多层5楼精装修两室送家具家电证满五唯一,花都锦城,高层(共6层),精装修
5375268826,沭城,上海中路,1室1厅,52m²,城市枫林西区多层6楼送内阁楼产证面积70平方实用面积120平,城市枫林(西区),高层(共7层),精装修
5348228738,沭城,上海中路,2室1厅,62m²,杭州名园 三实小 飞机户紧靠乐之地商业圈,杭州名园,高层(共7层),精装修
5372828218,沭城,上海中路,1室0厅,39m²,东关怀文 59万 朝南 2室1厅 53平 周边商圈成熟,北海花苑,高层(共7层),简单装修
5380911221,沭城,上海中路,2室1厅,68m²,东关怀文华希文鼎苑六楼不是顶楼90平万送车库110万,华希文鼎苑,高层(共7层),精装修
5365568302,沭城,上海中路,2室1厅,63m²,怀文西校 区 江岸名城6楼 不是顶楼 南北通透 精装2室,江岸名城,高层(共7层),精装修
5348210570,沭阳开发区,宁波路,2室1厅,67m²,奥韵都城 一实小 外国语 精装修 拎包入住,奥韵都城,中层(共6层),精装修
5382233501,沭城,上海中路,1室1厅,55m²,首付13万！颖都家园。产证75平。6楼无斜坡。送平台随时看房,颖都家园,高层(共6层),简单装修
5341789353,沭阳开发区,宁波路,2室1厅,70m²,阳光绿洲  迎宾大道旁交通便利 新装未住,阳光绿洲,高层(共7层),精装修
5354062643,沭阳开发区,宁波路,2室1厅,70m²,外国语学 区房！阳光绿洲92平两居室 送车库,阳光绿洲,高层(共6层),精装修
5379193102,沭城,上海中路,2室1厅,68m²,宁浦冠城精装修，高档小区环境好，南北通透，朝阳大卧室，送家具,宁浦冠城(东区),高层(共6层),简单装修
5373404455,沭城,上海中路,2室1厅,61m²,东关怀文学 区房 浙江商城 多层4楼 产证满2年 急售,浙江商城,共4层,精装修
5369308640,沭城,上海中路,2室1厅,68m²,二实小学 区 天下景城多层3楼 南北通透,天下景城,中层(共7层),精装修
5368387727,沭城,上海中路,2室1厅,68m²,天下景城，二实小校区大润发商圈，南北通透，两室两厅,天下景城,中层(共6层),精装修
5345147596,沭城,上海中路,2室2厅,84m²,丽景贵都，三实小外国语校区，多层5楼，送阁楼，送15平方车库,丽景贵都,共5层,精装修
5372573465,沭城,上海中路,1室1厅,48m²,颖都家园7楼64平方简装二室证满2年53万,颖都家园,高层(共7层),简单装修
5373116486,沭城,上海中路,2室1厅,68m²,一实小学 区房，花都锦城，满五唯一，飞机户精装多层五楼,花都锦城,共5层,精装修
5358948994,沭城,上海中路,2室1厅,66m²,外国语校区春风沂水4楼87平两室两厅精装修送车库110万,春风沂水,共4层,精装修
5353727787,沭城,上海中路,2室1厅,73m²,一实小学。区新世纪家园房二室二厅一卫精装,新世纪家园,中层(共6层),精装修
5364018840,沭城,上海中路,1室1厅,49m²,城市枫林多层4楼，面积65平方，二室二厅精装修，送车库,城市枫林(西区),中层(共6层),精装修
5347349013,沭城,上海中路,2室1厅,70m²,上海阳城花园 南北通透 精装修两室 带外阁楼 带车库,上海阳城花园,高层(共7层),精装修
5381788057,沭城,上海中路,2室1厅,67m²,怡景佳园老实小学 区多层5楼精装修两室两厅送12平方车库,怡景佳园,高层(共6层),精装修
5341781508,沭阳开发区,宁波路,2室1厅,70m²,阳光绿洲多层5楼，外国语中小学 学 区房。送车库10平方。,阳光绿洲,高层(共6层),简单装修
5351599496,沭阳开发区,宁波路,2室1厅,68m²,外国语学 区房奥韵都城好楼层二室豪华装修带暖气满二年,奥韵都城,中层(共6层),豪华装修
5356731402,沭城,上海中路,1室1厅,44m²,首付20万 东关怀文学 区 苏州花园六楼 两室报名神器采光好,苏州花园,高层(共6层),精装修
5382798751,沭城,上海中路,1室1厅,53m²,东关老怀文怀文小学小区三楼71平方106万,怀文小学小区,中层(共6层),精装修
5379303694,沭城,上海中路,2室1厅,74m²,老实小紫藤花园四楼两室两厅一卫97平方车库7平方,紫藤花园(北区),中层(共6层),精装修
5381818589,沭城,上海中路,2室1厅,65m²,新怀文**天成佳园精装修四楼86平方82万,天成佳园,中层(共6层),精装修
5339279364,沭阳开发区,宁波路,2室1厅,65m²,奥运都城四楼两室两厅一卫86平92.8万,奥韵都城,中层(共6层),简单装修
5359634488,沭城,上海中路,2室1厅,73m²,96平 精装修 2室2厅 满二 105万 武夷国际城 采光好,武夷国际城,低层(共28层),精装修
